               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035066,            0.059046,             0.20515,            0.049621,                0.25,            0.055403,             0.04786,            0.022156,            0.031435,              0.2371,               1e-05,               1e-05,             0.09991
                   1,            0.034782,            0.069641,             0.20306,            0.049621,                0.25,            0.055969,            0.046888,            0.022146,            0.031263,             0.23646,          2.9339e-05,          2.9339e-05,            0.099729
                   2,            0.041191,            0.069411,             0.20062,            0.049765,                0.25,            0.055969,            0.046888,            0.022098,             0.03126,             0.23636,          4.5703e-05,          4.5703e-05,            0.099546
                   3,            0.024461,            0.079332,             0.18085,            0.049919,                0.25,              0.0612,            0.053061,            0.022051,            0.031116,             0.23552,          5.7015e-05,          5.7015e-05,            0.099357
                   4,            0.022418,             0.13866,             0.16532,            0.049919,                0.25,            0.055969,            0.048145,            0.022083,             0.03108,             0.23442,          6.2015e-05,          6.2015e-05,            0.099162
                   5,            0.044032,            0.071787,             0.19218,            0.049765,                0.25,            0.055673,            0.048086,            0.022069,            0.030998,             0.23397,            6.05e-05,            6.05e-05,            0.098961
                   6,            0.034837,             0.17002,             0.16597,             0.05431,                0.25,            0.055673,            0.048144,             0.02196,            0.030842,             0.23354,          5.3423e-05,          5.3423e-05,            0.098753
                   7,            0.029066,             0.05919,             0.17962,             0.05431,                0.25,            0.055673,            0.048144,            0.022011,            0.031059,             0.23326,          4.2824e-05,          4.2824e-05,            0.098543
                   8,            0.031578,            0.087394,             0.19025,            0.054464,                0.25,            0.055673,            0.048144,            0.022064,            0.030998,             0.23292,           3.161e-05,           3.161e-05,            0.098332
                   9,             0.02904,             0.15589,             0.17659,            0.054167,                0.25,            0.055403,             0.04809,            0.022062,            0.030979,             0.23228,          2.3185e-05,          2.3185e-05,            0.098123
